Tempo(s) , T reator , T banho
1355	37.36	43.82
1360	36.74	43.81
1365	37.39	43.66
1370	37.59	44.07
1375	37.41	43.98
1380	37.43	43.95
1385	36.87	44.08
1390	37.68	44.06
1395	37.29	43.85
1400	37.33	43.79
1405	37.72	43.97
1410	37.61	44.09
1415	36.84	43.95
1420	37.35	43.81
1425	38.03	43.83
1430	37.42	44.05
1435	37.55	43.95
1440	37.46	44.01
1445	37.58	44.24
1450	37.9	44.11
1455	37.0	44.13
1460	37.49	43.95
1465	37.43	44.17
1470	37.38	44.07
1475	37.62	43.9
1480	37.93	44.2
1485	37.76	44.16
1490	37.83	44.24
1495	37.74	44.25
1500	36.85	44.0
1505	37.81	44.15
1510	37.48	44.15
1515	37.58	44.15
1520	37.97	44.33
1525	37.39	43.99
1530	38.48	44.2
1535	37.74	44.37
1540	37.8	44.22
1545	37.74	44.25
1550	38.28	44.14
1555	37.84	44.43
1560	37.68	44.15
1565	38.01	44.25
1570	37.92	44.22
1575	37.6	44.31
1580	37.9	44.13
1585	37.19	44.36
1590	37.79	44.25
1595	38.03	44.24
1600	37.38	44.33
1605	38.61	44.14
1610	37.95	44.34
1615	38.31	44.3
1620	37.6	44.35
1625	37.86	44.32
1630	37.51	44.42
1635	38.09	44.46
1640	37.76	44.39
1645	37.86	44.44
1650	38.12	44.47
1655	37.8	44.58
1660	37.74	44.63
1665	37.63	44.56
1670	37.73	44.4
1675	37.46	44.57
1680	37.82	44.43
1685	37.54	44.5
1690	37.9	44.86
1695	37.92	44.42
1700	38.47	44.4
1705	37.74	44.64
1710	37.66	44.64
1715	38.28	44.68
1720	38.12	44.4
1725	37.75	44.6
1730	38.06	44.46
1735	38.16	44.5
1740	38.5	44.47
1745	38.01	44.49
1750	38.16	44.67
1755	38.17	44.51
1760	38.36	44.66
1765	38.23	44.76
1770	38.22	44.5
1775	38.24	44.76
1780	37.52	44.74
1785	37.68	44.68
1790	38.16	44.66
1795	37.2	44.55
1800	37.98	44.78
1805	37.9	44.9
1810	38.14	44.45
1815	38.3	44.61
1820	37.93	44.57
1825	38.17	44.88
1830	38.02	44.66
1835	38.35	44.74
1840	38.4	44.85
1845	38.21	44.74
1850	38.48	44.71
1855	38.08	44.68
1860	38.07	44.82
1865	38.31	44.67
1870	38.41	44.82
1875	38.48	45.01
1880	38.19	44.83
1885	38.26	44.91
1890	38.35	44.8
1895	37.8	44.8
1900	38.28	45.06
1905	38.5	44.96
1910	38.25	45.03
1915	38.56	44.98
1920	38.51	44.81
1925	38.23	44.91
1930	38.28	44.89
1935	38.58	44.89
1940	38.22	45.15
1945	38.14	45.07
1950	38.57	45.02
1955	38.21	45.37
1960	38.21	44.9
1965	38.16	44.92
1970	38.04	45.09
1975	38.32	45.01
1980	38.56	45.05
1985	38.67	45.19
1990	38.69	45.25
1995	38.26	45.07
2000	38.05	45.18
2005	38.39	45.12
2010	37.99	45.17
2015	38.23	45.26
2020	38.24	45.33
2025	37.85	45.08
2030	38.59	45.33
2035	38.3	45.33
2040	38.78	45.29
2045	38.55	45.36
2050	38.31	45.03
2055	38.44	45.22
2060	38.23	45.06
2065	38.9	45.28
2070	38.6	45.22
2075	38.27	45.29
2080	38.51	45.32
2085	38.43	45.42
2090	39.02	45.28
2095	38.74	45.3
2100	38.44	45.36
2105	39.19	45.27
2110	38.89	45.29
2115	38.7	45.29
2120	38.36	45.28
2125	38.6	45.49
2130	38.58	45.4
2135	38.34	45.42
2140	38.55	45.47
2145	38.13	45.59
2150	38.67	45.49
2155	38.2	45.49
2160	38.58	45.44
2165	38.83	45.66
2170	38.49	45.47
2175	38.68	45.57
2180	39.14	45.94
2185	38.98	45.62
2190	38.69	45.7
2195	38.64	45.52
2200	38.71	45.66
2205	38.77	45.52
2210	38.81	45.52
2215	38.77	45.72
2220	38.27	45.52
2225	38.85	45.76
2230	39.07	45.64
2235	38.72	45.53
2240	38.15	45.73
2245	38.5	45.51
2250	38.79	45.61
2255	38.71	45.83
2260	39.43	45.81
2265	38.54	45.54
2270	38.92	45.72
2275	38.67	45.64
2280	38.72	45.76
2285	38.73	45.72
2290	38.63	46.03
2295	38.86	45.74
2300	39.15	45.67
2305	37.86	46.04
2310	38.67	45.79
2315	38.95	45.8
2320	38.77	45.67
2325	38.59	45.86
2330	38.93	45.68
2335	38.91	45.76
2340	39.08	45.76
2345	38.97	45.73
2350	39.44	45.84
2355	39.24	46.04
2360	39.33	46.02
2365	39.11	45.72
2370	38.93	45.98
2375	38.78	45.8
2380	38.38	45.92
2385	39.03	46.07
2390	38.49	45.85
2395	38.55	46.03
2400	38.89	45.88
2405	38.94	45.85
2410	39.19	46.1
2415	39.24	45.84
2420	39.09	45.99
2425	38.97	46.04
2430	38.71	46.09
2435	39.04	45.86
2440	38.76	46.09
2445	38.66	46.28
2450	38.78	45.93
2455	39.03	46.06
2460	38.77	46.09
2465	38.68	46.06
2470	39.13	46.06
2475	38.99	46.2
2480	38.82	46.09
2485	38.92	46.27
2490	39.17	46.28
2495	38.45	46.11
2500	39.31	46.19
2505	39.06	46.17
2510	38.89	46.26
2515	39.17	46.32
2520	38.31	46.34
2525	39.25	46.28
2530	39.27	46.01
2535	39.17	46.35
2540	38.96	46.28
2545	39.18	46.1
2550	39.15	46.31
2555	39.17	46.29
2560	39.08	46.32
2565	39.84	46.4
2570	39.38	46.26
2575	39.63	46.17
2580	39.0	46.34
2585	39.55	46.08
2590	38.96	46.29
2595	39.1	46.36
2600	39.64	46.32
2605	39.42	46.56
2610	39.16	46.52
2615	39.51	46.39
2620	39.11	46.24
