Tempo(s) , T reator , T banho
Tempo(s) , T reator , T banho
0	26.71	26.97
1	26.43	27.03
2	25.73	26.8
3	26.51	26.89
4	26.13	27.02
5	25.77	26.83
6	26.2	26.84
7	25.96	26.82
8	26.58	26.86
9	25.94	27.04
10	26.35	27.06
11	26.32	27.03
12	26.16	26.86
13	26.25	27.04
14	26.42	26.79
15	26.43	27.01
16	26.42	27.07
17	26.12	26.79
18	26.25	26.89
19	26.42	26.95
20	25.92	27.06
21	26.08	26.94
22	26.49	26.85
23	26.41	26.91
24	26.39	27.05
25	26.57	26.98
26	26.7	27.13
27	26.66	27.16
28	25.95	27.14
29	25.98	27.18
30	26.34	26.76
31	26.71	27.06
32	26.34	27.23
33	26.46	27.2
34	26.48	27.23
35	26.63	27.04
36	26.2	27.17
37	26.39	27.12
38	26.41	27.13
39	26.42	27.19
40	26.33	26.94
41	26.37	27.14
42	26.34	26.91
43	26.19	26.85
44	26.41	27.13
45	26.81	27.05
46	26.4	26.88
47	26.52	26.97
48	26.36	26.99
49	26.63	27.19
50	26.28	27.06
51	26.62	27.12
52	26.38	27.13
53	26.25	27.09
54	26.69	27.21
55	26.18	26.83
56	26.52	27.11
57	26.46	27.06
58	26.33	27.21
59	26.58	26.89
60	26.2	27.08
61	26.78	27.15
62	26.27	27.11
63	26.56	27.22
64	26.47	27.23
65	26.15	27.14
66	26.52	27.16
67	26.57	27.22
68	26.61	27.15
69	26.19	27.19
70	26.46	27.23
71	26.35	27.23
72	26.66	27.12
73	26.32	27.35
74	26.76	27.29
75	26.79	27.26
76	26.54	27.13
77	26.6	26.94
78	26.72	26.97
79	26.38	27.18
80	26.6	27.36
81	26.75	27.19
82	26.43	27.18
83	26.35	27.13
84	26.56	26.97
85	26.95	27.12
86	26.59	27.15
87	26.58	27.15
88	26.82	26.89
89	26.67	27.11
90	26.71	27.09
91	26.72	27.14
92	26.78	27.25
93	26.58	27.37
94	26.4	27.41
95	26.78	27.12
96	26.84	27.21
97	26.95	27.33
98	26.53	27.4
99	26.21	27.55
100	26.97	27.29
101	26.8	27.16
102	26.76	27.3
103	26.5	27.21
104	26.44	27.18
105	26.69	27.42
106	26.88	27.11
107	26.5	27.2
108	26.97	27.17
109	26.93	27.36
110	26.68	27.24
111	26.92	27.31
112	26.86	27.43
113	26.67	27.17
114	26.57	27.34
115	26.79	27.24
116	26.45	27.39
117	26.86	27.09
118	26.88	27.4
119	26.77	27.28
120	26.74	27.38
121	27.0	27.23
122	26.51	27.34
123	26.85	27.18
124	26.57	27.32
125	26.81	27.44
126	26.68	27.24
127	26.92	27.25
128	26.94	27.49
129	27.04	27.37
130	26.87	27.3
131	26.96	27.64
132	26.82	27.29
133	27.05	27.3
134	26.98	27.66
135	26.93	27.36
136	26.78	27.23
137	26.93	27.4
138	26.79	27.38
139	26.98	27.12
140	26.54	27.2
141	26.73	27.2
142	26.85	27.31
143	26.76	27.43
144	26.56	27.29
145	26.6	27.44
146	26.94	27.53
147	26.71	27.49
148	26.87	27.2
149	27.18	27.33
150	26.96	27.32
151	26.9	27.41
152	26.35	27.6
153	26.52	27.51
154	26.98	27.28
155	27.07	27.43
156	27.02	27.43
157	27.49	27.59
158	27.11	27.52
159	27.11	27.59
160	26.87	27.36
161	27.23	27.37
162	26.77	27.35
163	26.79	27.39
164	27.37	27.31
165	26.91	27.35
166	26.91	27.59
167	26.93	27.38
168	27.36	27.58
169	26.62	27.32
170	26.94	27.47
171	27.07	27.65
172	27.03	27.51
173	27.07	27.09
174	27.14	27.49
175	27.26	27.54
176	26.9	27.47
177	26.98	27.32
178	26.9	27.71
179	27.23	27.27
180	27.26	27.55
181	27.14	27.47
182	27.05	27.41
183	27.35	27.7
184	26.94	27.39
185	27.24	27.62
186	26.8	27.52
187	27.09	27.52
188	26.98	27.53
189	27.5	27.72
190	27.33	27.46
191	27.21	27.6
192	27.32	27.53
193	27.15	27.37
194	27.25	27.73
195	27.1	27.55
196	27.1	27.59
197	26.85	27.56
198	27.02	27.75
199	26.56	27.49
200	27.06	27.53
201	27.13	27.53
202	26.76	27.79
203	27.2	27.56
204	27.13	27.49
205	27.22	27.53
206	27.49	27.78
207	26.82	27.67
208	27.15	27.7
209	27.48	27.62
210	27.25	27.48
211	27.06	27.79
212	27.5	27.58
213	27.34	27.72
214	27.05	27.55
215	27.28	27.44
216	27.07	27.61
217	27.26	27.51
218	27.15	27.56
219	27.28	27.55
220	27.09	27.49
221	27.27	27.46
222	27.26	27.78
223	27.45	27.68
224	27.01	27.67
225	27.29	27.44
226	26.8	27.73
227	27.21	27.67
228	27.32	27.7
229	27.53	27.72
230	27.46	27.88
231	27.08	27.7
232	27.11	27.67
233	27.16	27.73
234	27.15	27.69
235	27.57	27.64
236	27.29	27.79
237	27.3	27.76
238	27.53	27.64
239	27.13	27.61
240	27.69	27.64
241	27.18	27.57
242	27.24	27.73
243	26.99	27.59
244	26.8	27.67
245	27.32	27.67
246	27.7	27.81
247	27.32	27.79
