Tempo(s) , T reator , T banho
0	48.95	52.72
5	49.46	52.61
10	48.74	52.96
15	49.28	52.85
20	49.08	52.34
25	48.66	52.76
30	48.83	52.41
35	49.51	52.81
40	48.87	52.91
45	48.76	52.43
50	48.73	52.63
55	48.19	52.66
60	48.48	52.36
65	48.2	52.47
70	48.33	52.79
75	48.34	52.5
80	48.19	52.81
85	48.53	53.22
90	47.63	52.38
95	48.08	52.61
100	47.55	52.81
105	47.52	52.27
110	47.6	52.76
115	47.77	52.7
120	47.86	52.97
125	47.87	53.0
130	47.63	52.66
135	47.3	52.52
140	47.78	53.39
145	47.96	52.55
150	47.59	52.55
155	47.52	52.77
160	47.43	52.68
165	47.35	52.64
170	47.24	52.72
175	47.35	52.61
180	47.65	53.01
185	46.88	52.84
190	47.35	52.5
195	47.37	52.48
200	47.44	52.68
205	47.6	52.58
210	47.79	52.99
215	47.3	52.75
220	47.32	52.48
225	47.2	52.83
230	47.01	52.46
235	46.93	52.74
240	47.0	52.66
245	46.97	52.58
250	47.21	52.41
255	47.39	52.67
260	46.8	52.61
265	46.91	52.64
270	46.72	52.39
275	47.82	53.1
280	47.64	52.33
285	47.17	52.36
290	47.24	51.99
295	47.4	52.42
300	47.06	52.62
305	47.22	52.5
310	47.41	52.46
315	47.18	52.34
320	46.8	52.34
325	46.94	52.65
330	46.54	52.88
335	46.69	52.36
340	47.24	52.62
345	46.72	52.36
350	47.11	51.76
355	46.97	52.39
360	46.56	52.33
365	46.81	52.5
370	47.2	52.55
375	46.95	52.28
380	47.13	52.5
385	47.02	52.53
390	46.9	52.23
395	47.03	52.39
400	46.95	52.05
405	46.99	52.23
410	46.89	52.13
415	46.79	52.34
420	46.86	53.04
425	46.79	52.46
430	46.99	52.48
435	47.03	52.29
440	46.53	52.01
445	46.8	51.56
450	46.74	52.39
455	47.16	52.88
460	46.75	52.12
465	46.45	52.03
470	46.66	52.39
475	46.51	52.48
480	45.95	52.27
485	46.63	52.32
490	46.6	52.1
495	46.72	52.19
500	46.85	52.25
505	46.46	51.81
510	46.15	52.67
515	46.37	52.83
520	46.77	51.89
525	46.4	51.37
530	46.28	52.91
535	46.63	52.36
540	46.62	52.44
545	46.28	51.96
550	46.15	52.72
555	46.39	52.05
560	46.3	52.5
565	46.32	52.54
570	46.51	52.38
575	46.17	52.19
580	46.21	52.45
585	46.46	52.6
590	46.46	52.05
595	46.4	52.28
600	46.38	52.2
605	46.75	52.61
610	45.81	52.83
615	46.22	52.6
620	46.38	52.7
625	46.52	52.23
630	46.62	52.24
635	46.3	52.55
640	46.21	52.43
645	46.38	52.43
650	46.42	52.63
655	46.47	52.46
660	46.73	52.68
665	46.31	51.97
670	46.6	52.51
675	46.31	52.84
680	46.33	52.43
685	46.24	52.26
690	46.43	52.58
695	46.35	53.34
700	46.59	52.98
705	46.51	52.75
710	46.26	52.46
715	46.56	52.38
720	46.36	52.66
725	46.52	53.06
730	46.14	52.69
735	46.26	53.21
740	46.36	52.8
745	46.06	52.9
750	46.57	52.79
755	45.9	52.75
760	46.54	52.55
765	46.23	53.15
770	46.26	52.7
775	46.45	53.06
780	46.37	52.99
785	46.37	52.73
790	46.32	52.81
795	46.36	52.35
800	45.99	52.98
805	46.39	52.76
810	46.01	53.27
815	45.88	52.69
820	46.66	53.13
825	46.67	52.59
830	46.07	52.84
835	46.27	53.15
840	46.47	53.01
845	46.35	52.61
850	46.49	52.81
855	46.78	53.01
860	46.31	52.73
865	46.69	53.03
870	46.7	53.08
875	46.53	52.36
880	46.37	53.33
885	45.94	52.56
890	46.11	52.75
895	46.34	52.88
900	46.43	53.03
905	45.96	53.08
910	46.68	52.94
915	46.11	52.95
920	46.46	52.6
925	46.44	53.45
930	46.45	53.35
935	45.96	52.96
940	46.17	52.53
945	46.34	53.06
950	46.59	52.78
955	46.0	52.69
960	46.04	53.16
965	46.46	53.17
970	46.24	53.23
975	46.02	53.01
980	46.25	52.95
985	46.39	52.73
990	46.25	52.93
995	45.98	52.86
1000	46.2	52.81
1005	45.66	52.3
1010	46.9	53.11
1015	46.26	52.26
1020	46.44	53.39
1025	46.91	52.35
1030	46.3	52.73
1035	46.28	52.99
1040	46.24	53.3
1045	46.27	52.67
1050	46.59	53.03
1055	46.08	52.33
1060	46.28	53.05
1065	46.26	52.53
1070	46.27	52.34
1075	46.17	52.82
1080	46.28	52.97
1085	46.53	52.63
1090	46.71	52.41
1095	46.36	53.16
1100	46.09	52.87
1105	46.44	52.69
1110	46.28	52.97
1115	45.96	52.28
1120	46.28	52.47
1125	46.21	53.23
1130	45.98	52.76
1135	46.14	53.01
1140	46.56	52.37
1145	46.33	52.96
1150	46.34	52.68
1155	46.26	52.54
1160	46.42	51.86
1165	46.39	53.04
1170	46.29	53.26
1175	45.95	52.61
1180	46.07	52.41
1185	45.93	52.9
1190	46.2	53.04
1195	46.11	52.83
1200	46.23	52.65
1205	46.54	52.96
1210	46.36	52.78
1215	46.12	53.1
1220	46.31	52.81
1225	46.47	53.36
1230	46.02	52.7
1235	46.25	52.78
1240	46.25	53.03
1245	46.19	52.65
1250	46.22	53.2
1255	45.89	52.75
1260	46.29	52.89
1265	46.09	53.12
1270	46.31	52.91
1275	46.06	52.94
1280	46.23	53.0
1285	46.13	52.82
1290	46.08	52.61
1295	46.19	53.28
1300	46.05	53.06
1305	45.74	52.86
1310	46.15	52.72
1315	46.12	52.84
1320	46.45	52.85
1325	45.99	52.66
1330	46.07	52.3
1335	45.95	52.8
1340	46.01	52.68
1345	46.26	52.61
1350	46.17	52.85
